timestamp,username,text,emotion
2025-07-21 01:32:37,sans,I am feeling very good.,joy
2025-07-21 01:33:49,sans,I am feeling starstruck.,sadness
2025-07-21 01:34:46,sans,"I can’t believe they betrayed my trust like that.

",anger
2025-07-21 01:35:31,sans,I feel gross just being near that environment.,disgust
2025-07-21 01:36:25,naveena,Laughing with friends felt amazing.,joy
2025-07-21 01:37:23,naveena,"It was a disgusting act, completely unacceptable.",disgust
2025-07-21 02:04:23,Sanskrithi,I am feeling amazing.,joy
2025-07-21 02:04:49,Sanskrithi,I am feeling anxious.,fear
2025-07-21 02:17:11,Nishanth,I am feeling great.,joy
2025-07-21 02:17:57,Joshna,I am feeling pumped up for my office.,joy
2025-07-21 02:18:27,Joshna,I am very anxious as I have a meeting in my office today.,fear
2025-07-21 02:21:24,Joshna,I am feeling extremely frustrated.,sadness
2025-07-21 02:28:20,Nishanth,I am feeling a little overwhelmed.,sadness
2025-07-21 02:28:41,Nishanth,I am feeling very energetic and strong.,joy
2025-07-21 02:32:43,Nishanth,I am feeling very anxious. I feel like crying.,fear
2025-07-21 02:36:49,Nishanth,I am feeling stunned upon seeing the new F1 movie.,surprise
2025-07-21 02:50:15,Joshna,I am feeling strong.,sadness
2025-07-21 02:50:31,Joshna,I am feeling good.,joy
2025-07-21 02:50:52,Joshna,I am feeling great.,joy
2025-07-21 02:56:34,Joshna,I am feeling great!!,joy
2025-07-21 03:00:24,Joshna,I am feeling stunned.,surprise
2025-07-21 03:01:05,Joshna,I am feeling happy.,joy
2025-07-21 03:09:45,Nishanth,I am feeling very low-spirited.,sadness
2025-07-21 03:12:31,Sanskrithi Reddy,I got the job! Feeling incredibly happy and excited!,joy
2025-07-21 03:14:56,Sanskrithi Reddy,That loud noise startled me. I’m still shaking.,fear
2025-07-21 03:15:36,Sanskrithi Reddy,They brought me a cake out of nowhere! What a shock!,surprise
2025-07-21 03:16:03,Sanskrithi Reddy,Wow! Didn’t expect that surprise birthday celebration!,surprise
2025-07-21 12:27:55,Naveena,I am feeling ecstatic today.,joy
